Title,Distributor,ReleaseDate,DomesticSales,InternationalSales,WorldSales,MovieRuntime,License
Terminator 3: Rise of the Machines (2003),Warner Bros.,2-Jul-03,150371112,283000000,433371112,1 hr 49 min,R
Daddy's Home (2015),Paramount Pictures,NA,150357137,92429000,242786137,1 hr 36 min,NA
G.I. Joe: The Rise of Cobra (2009),Paramount Pictures,5-Aug-09,150201498,152267519,302469017,1 hr 58 min,PG-13
Neighbors (2014),Universal Pictures,8-May-14,150157400,120507734,270665134,1 hr 37 min,R
American Hustle (2013),Sony Pictures Entertainment (SPE),12-Dec-13,150117807,101054000,251171807,2 hr 18 min,R
Puss in Boots (2011),DreamWorks,27-Oct-11,149260504,405726973,554987477,1 hr 30 min,PG
Sonic the Hedgehog (2020),Paramount Pictures,12-Feb-20,148974665,170741018,319715683,1 hr 39 min,PG
Les Misérables (2012),Universal Pictures,19-Dec-12,148809770,293489539,442299309,2 hr 38 min,PG-13
Knocked Up (2007),Universal Pictures,1-Jun-07,148768917,71153500,219922417,2 hr 9 min,R
As Good as It Gets (1997),Sony Pictures Entertainment (SPE),23-Dec-97,148478011,165700000,314178011,2 hr 19 min,PG-13
Little Fockers (2010),Universal Pictures,22-Dec-10,148438600,162211985,310650585,1 hr 38 min,PG-13
Megamind (2010),DreamWorks,28-Oct-10,148415853,173469912,321885765,1 hr 35 min,PG
Hotel Transylvania (2012),Sony Pictures Entertainment (SPE),20-Sep-12,148313048,210062555,358375603,1 hr 31 min,PG
Talladega Nights: The Ballad of Ricky Bobby (2006),Sony Pictures Entertainment (SPE),4-Aug-06,148213377,15148718,163362095,1 hr 48 min,PG-13
Gran Torino (2008),Warner Bros.,12-Dec-08,148095302,121862926,269958228,1 hr 56 min,R
Lethal Weapon 2 (1989),Warner Bros.,NA,147253986,80600000,227853986,1 hr 54 min,NA
